,Article Index,Part,Percentage
910,64046,NEW YORK (Reuters) - The two,20
944,42098,"The NFL injury epidemic didn't pause this weekend, with Rich Gannon breaking a vertebra in his neck that will sideline him for eight weeks, and Rex Grossman and Charlie Garner out for the season.",100
2403,14629,NEW YORK (Reuters) - U.S. stocks are set to open lower on Monday with oil prices climbing higher and Wall Street on edge as the Republican National Convention gets underway,80
535,51280,Reggie Miller has the option to,20
3775,27615,Patches released for flaws,20
3261,16723,Vulnerabilities in technology widely used,40
3643,7474,"HOUSTON - After being plunked between the shoulders, Michael Barrett offered a few words of advice for Roy Oswalt when the Chicago Cubs and",80
520,92332,Reuters - Two British entrepreneurs who,20
3970,39337,UNITED NATIONS (BBC) -- The,20
236,43859,"Sure, the device can record movies and anything else",40
722,19817,"New Delhi, Sept. 6 (PTI): Prime Minister Manmohan Singh, today appreciated that both New Delhi and Islamabad were committed to",60
3076,28825,NEW YORK - Stocks sagged Wednesday after Coca-Cola Co. and several other companies,40
4826,43774,"The deal, if consummated, would give Cendant the technology it needs to shed",40
3254,38190,"US Airways will ask a bankruptcy court judge to impose emergency pay cuts of 23 percent on its major unions, according to a newspaper report late on Thursday.",100
2789,41936,HOUSTON - St. Louis Cardinals second baseman Tony Womack left Monday night 39;s game against Houston in the seventh inning after getting hit on the left hand with a pitch.,100
1680,1696,Joanne Peters' 12-yard header in,20
210,56347,Brian Griese replaced injured,20
4206,78872,Losses by Florida State and Miami leave Virginia Tech,40
2309,66848,"AP - He's been called the smartest man in baseball. Yet Tony La Russa was feeling anything but that as he stood on the top step of the St. Louis dugout in the 12th inning Wednesday night, craning his neck to watch Jim Edmonds' game-winning home run disappear over the Cards' bullpen in right-center field.",100
521,92332,Reuters - Two British entrepreneurs who founded online dating service Udate.com and sold,40
1111,46347,Synergy was the word Siemens AG used several years ago when it talked about combining its carrier and enterprise network and mobile phone businesses under one roof.,40
960,34385,"Ahead of the UN General Assembly annual session,",20
4847,81602,"The United States embassy in Damascus, Syria, says it has temporarily closed its doors to the public to re-evaluate its",60
4915,73373,Dell has launched the Inspiron,20
1559,84818,LIBERTY Media 39;s move last week to grab up to 17.1 per cent of News Corporation voting stock has prompted the launch of a defensive shareholder rights plan.,100
3295,64029,AP - The space,20
1848,90585,"PORT-AU-PRINCE - Prime Minister Paul Martin 39;s one-day visit to Haiti has not produced any new foreign aid commitments, but it did prompt Martin to warn his hosts that democracy will never flourish in",80
4927,99791,Reuters - A suicide truck bomb attack on an Iraqi security checkpoint near an entrance to the fortified Green Zone complex,60
2638,42821,"MONTERREY, Mexico - Health authorities in the northern state of Chihuahua said Tuesday they are recruiting hundreds of cats to fight hundreds of thousands of rats. Chihuahua state officials say they hope to collect as many as 700 felines and send them to Atascaderos, an isolated farm village in the rugged Tarahumara",80
2966,28684,"The Saudi Interior Ministry identified the foreigner as a Briton,",40
2692,62822,"In a speech on Friday, Alan Greenspan, chairman of the Federal Reserve, gave qualified reassurance on the adequacy of future global oil",60
588,10454,"NAJAF, Iraq (Reuters) - Supporters of Iraq's top Shi'ite cleric Grand Ayatollah Ali al-Sistani were fired upon in the town of Kufa on Thursday and 20 people were",80
1362,37597,NEW YORK - Both Germany and France in their speeches before the 59th General Assembly session on Thursday supported,60
600,824,AP - Discount retailer Kmart,20
2383,48057,"Microsoft today unveiled a technical preview of SQL Server 2005 Express Manager, a newly developed free database management tool and the second Community Technology",80
3591,90280,Iraqi national security adviser Kasim Dawood said Saturday up,40
3641,7474,"HOUSTON - After being plunked between the shoulders, Michael Barrett offered a",40
3115,43497,As criticism mounted yesterday over Banknorth Group's pending,20
3314,62254,"AP - Having served 17 terms, Illinois Rep. Phil Crane is the most senior Republican in the House. His quest for an 18th is proving difficult and has party strategists scrambling to fend off a challenge from Democrat Melissa Bean.",100
2104,62123,"Because some antidepressant drugs have been shown to lead to suicidal thoughts among children and teens, the FDA decrees that all manufacturers must carry a warning on their labels.",100
3096,106862,Ohio State matched the record for the most lopsided,40
1669,42848,Prime Minister Tony Blair faced angry protests as he urged his party to set aside its differences over Iraq and seize the chance of an historic third term in power.,100
2955,8891,in the form of,20
4257,116284,French prosecutors investigating the manslaughter of the 113 people killed in the Air France Concorde crash four,60
1154,81880,AP - A  36;100 million supercomputer being built to analyze the nation's nuclear stockpile has again set an unofficial performance record  151; the second in just over a month.,100
3461,26298,NEW YORK (Reuters) - World oil prices shot higher on,40
3633,11274,"AP - An NHL executive accused the players' association of conducting ""a charade"" and said the union has no interest in working out a new labor deal before",80
2232,89629,"Showing the kind of toughness that breeds late-season success, Xaverian took a big step toward a Catholic Conference title with a 25-7 win over Catholic Memorial yesterday. With the artificial turf at Catholic",60
20,31201,Sometimes you,20
3128,53975,"Following the footsteps of its American counterpart, Britain 39;s British Phonographic Industry announced it was bringing",80
558,61138,"Within months of acquiring FleetBoston Financial Corp. , Bank of America Corp. handed out its sales playbook to Fleet employees in the branches",80
1898,83623,UNITED NATIONS (Reuters) - France readied a U.N. resolution that seeks an arms embargo on the Ivory Coast after nine French soldiers and an American civilian,80
2796,93680,"NEW YORK (Reuters) - SBC Communications ;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=SBC.N qtype=sym infotype=info qcat=news"";SBC.N;/A; on Wednesday",40
775,45345,Drug company Merck has,20
338,44476,"With its new Ogo mobile device, AT amp;T Wireless says goodbye to voice traffic and embraces the IM-savvy youth market. For AT amp;T Wireless, talk clearly is overrated - which is why the",80
4477,108742,"KENNEWICK, Wash., (Sports Network) - Wally Backman, briefly the manager of the Arizona Diamondbacks, was",60
2847,106419,"Putting some of your hard-earned cash into dogs, or",60
4612,21435,Tokyo stocks fell Wednesday in the absence of market-moving news at home. The US dollar was down against,60
664,63650,"Odyssey Healthcare Inc., a hospice care provider, said Monday its chief executive resigned as the company warned third-quarter earnings will be below Wall Street 39;s expectations and revealed it is being investigated by the Department of Justice.",100
2574,4844,"AFP - Indian troops shot dead two rebels who had infiltrated into Indian Kashmir from the Pakistan-controlled zone, while two separatists and nine other people were detained in the region, officials said.",100
4994,59766,Iron Mountain plans to acquire Connected Corp. to enhance its online backup and recovery portfolio.,100
3310,62254,"AP - Having served 17 terms, Illinois Rep.",20
2407,37198,"US regulators, who rejected Cyberonics Inc. 39;s (CYBX.O: Quote, Profile, Research) device",60
105,45753,"Faced with mountains of inventory,",20
4333,5857,ATHENS (Reuters) - Sarunas Jasikevicius went on a shooting spree in the last three minutes of play to lift Lithuania to a 94-90 victory over the United States,80
3843,103452,Lee Carsley 39;s curling free-kick earned high-flying Everton a point in manager David Moyes 39; 100th Premiership game. Craig Bellamy burst through to make it 1-0 before Jermaine,80
1306,118047,"In 2003-04, the Bucks won three of their four contests with the Bulls. Overall, the home",40
2911,52992,MOSCOW A senior Russian official says his country is going to continue,40
2343,68904,"The NFL 39;s position on Ricky Williams 39;s playing status didn 39;t change following Thursday 39;s meeting in the Los Angeles area with attorney David Cornwell,",80
4541,21108,"In a rare admission, an Intel executive",40
328,103438,King Abdullah of Jordan has stripped his half-brother and heir apparent of his title as crown prince on Sunday. King Abdullah announced at the state television on Sunday,80
1721,3225,"As Australians watch their country 39;s flag being raised yet again in Athens, it can",40
1231,2656,Reuters - Monsanto Co. (MON.N) on Wednesday said the U.S. Justice,40
245,119585,The US cancels all,20
834,86643," BERLIN (Reuters) - War is not an option against Iran and no  one expects the standoff over Iran's nuclear program to lead to  an ""Iraq-like confrontation,"" German Foreign Minister Joschka  Fischer was quoted as saying on Wednesday.",100
3674,33838,Reuters - Pittsburgh Steelers starting quarterback Tommy Maddox will be sidelined at least six weeks after suffering a right elbow injury during Sunday's 30-13 loss to Baltimore.,100
613,40553,The Afghan president makes a rare visit to the north just two weeks before the,80
2090,104235,Reuters - Scurvy wiped out,20
2544,40304,"St. Louis, MO (Sports Network) - John Carney 39;s 31-yard field goal 7:04 into overtime handed the New Orleans Saints a dramatic 28-25 victory over the St.",100
3996,28012,If there were a contest for world 39;s,40
2920,30912,Consumers who were billed for services used,20
3893,29914,"com. With the American League East title hanging in the balance, the Yankees and Red Sox lock up on Saturday afternoon in the Bronx in one of the",80
531,97529,Ricky Ponting hailed two outstanding days of pressure cricket for delivering,40
1259,56261,"New Orleans, LA (Sports Network) - Tampa Bay quarterback Chris Simms left in the first quarter of Sunday 39;s game against New Orleans with a left shoulder injury.",100
2101,62123,Because some antidepressant drugs have been shown to lead to suicidal,40
3664,107640,"After studying thousands of images from Mars, scientists now are convinced that liquid water once flowed on the surface of the red planet, increasing the odds that life may have existed there in the distant past.",100
3367,71264,Northern Ireland drug company Warner Chilcott says it has received a takeover approach at a price of,60
4388,99100,Reuters - Minnesota Vikings wide receiver Randy Moss is listed as doubtful for Sunday's game against the Jacksonville Jaguars,80
3964,45017,Ian Botham has urged the Government to step in and instruct the England cricket team to stay away from Zimbabwe this winter. The former England skipper believes the oneday series arranged for late November and early December should be scrapped.,100
4547,5119,Giant US electronics retailer Best Buy has been sued by the State,60
1103,92390,SYDNEY : The Australian Olympic Committee said it has appealed to sport 39;s highest international arbitration body to open the way for Australian cyclist Michael Rogers to claim,80
919,64559,Following is the Globe Top 20 in EMass for girls' soccer. No. Team Record Last 1. Belmont 12-0-1 1 2. Oliver Ames 11-1-0 2 3. Lynnfield 12-0-0 3 4. Andover 12-0-0 4 5. Norwell 12-0-0 5 6. Bishop Feehan 11-1-1 9 7. Old Rochester 12-1-1 7 8. Wellesley 9-0-4 8 9. Marshfield 8-1-4 6 10. Weymouth 10-1-2 10 11. Rockland ...,100
2406,37198,"US regulators, who rejected Cyberonics Inc. 39;s (CYBX.O:",40
3950,49454,New service lets,20
504,101340,A WHY-WORRY attitude to three dropped shots on two early holes set up young NSW player Kurt Barnes to rocket to the top of the Australian Open leaderboard yesterday.,100
2923,30912,"Consumers who were billed for services used on or before June 15, 2003, but who did not pay or dispute the charges, would have the opportunity to dispute the charges in",80
1655,79969,Manchester United 39;s performance was so,20
1302,117564,Charles Clarke is set to start work as Home Secretary after,60
1709,97045,"Reuters - Oracle Corp. Friday said 61 percent of PeopleSoft Inc. shares were tendered for its  36;24-a-share offer, strengthening Oracle's hostile bid position as it waits to see if PeopleSoft's board will remove the final barrier to a deal.",100
3062,97715,Firing his father led to a better performance for Shane Mosley against Winky Wright in their,60
2720,64300,The British oil exploration firm,20
3162,52714,The news that the National party is to hold back on key policy announcements,60
533,97529,"Ricky Ponting hailed two outstanding days of pressure cricket for delivering one of Australia 39;s biggest Test victories over New Zealand, inside four",80
3853,117793,Former Rangers star Ally McCoist has described the current team as powder-puff following their UEFA Cup exit last night. Alex McLeishs side needed only a draw at home to Auxerre to,80
367,67154,"ATLANTA Cingular Wireless reports a rise in subscribers and revenue, but a drop in operating profit ahead of the",60
2971,50818,"MOJAVE, Calif., Oct. 4--The PM.Zone was on the scene again today",40
330,33823,Brazilian president Luiz Incio Lula da Silva declared,20
3514,48624,"Tokyo stocks surged at the open on Monday, fueled by Wall Street 39;s gains last week. The US dollar was higher against the Japanese yen.",100
2455,115319,"The row between the Taoiseach, Bertie",20
2881,38533,Kenya has met all economic conditions set by the International Monetary Fund (IMF) which,40
4588,36162,"AP - Chicago Bears cornerback Charles Tillman will miss seven to 10 weeks with a right knee injury, a blow to a secondary already stretched thin by",80
4944,19997,"AP - Replacement starter Travis Smith pitched five solid innings, Andruw Jones homered again and the Atlanta Braves buried Philadelphia a little deeper in the NL East, beating the Phillies 3-1 on Monday.",100
3226,68807,"French international midfielder Jerome Rothen, forced out of Paris St Germain 39;s 2-0 victory",40
1664,107959,"RAMALLAH, West Bank -- A former communist who runs a respected Palestinian human rights organization, a professor with ties to Islamic groups, and a lawmaker known for exposing government corruption are among the 10 candidates vying to lead the Palestinian Authority, in what analysts here say will be the first truly competitive presidential election in the Arab world.",100
3579,68649," NEW YORK (Reuters) - Shares of Swedish company Ericsson  ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ERICY.O target=/stocks/quickinfo/fullquote"";ERICY.O;/A; fell 6.8 percent before the bell Friday after the  world's biggest producer of mobile phone networks reported a  big jump in third-quarter profits but said market growth would  slow next year.",100
4158,60403,"Growth at Nokia Corp. 39;s (NYSE: NOK - message board) Networks division continues to keep company net sales afloat, with the Finnish vendor today predicting healthy",80
1770,104848,When Doc Rivers has dinner,20
1170,97878,Finance ministers from the Group of,20
4236,843,"NEW YORK (Reuters) - Allstate Corp. ;ALL.N;, the No. 2 U.S.",40
4942,19997,"AP - Replacement starter Travis Smith pitched five solid innings, Andruw Jones homered again and the Atlanta Braves buried",60
3419,864,Google IPO Continues Despite Playboy Boob  Google's IPO ran into another problem last week with investors being allowed to start bidding on the company last Friday. Google rsquo;s founders will appear in an upcoming issue of Playboy magazine which will be on the shelves this Friday. Although the interview was apparently held ...,100
2293,40402,Iranian students interrupt a speech by President Khatami to mark Student Day,80
4207,78872,Losses by Florida State and Miami leave Virginia Tech and Virginia in position to,60
3794,118149,"Beijing, Dec. 16 (PTI): China today said it opposed terrorism  quot;in all forms quot;, and vowed to enhance cooperation with Pakistan to jointly fight against the menace as also to develop the  quot;comprehensive cooperative partnership quot; with its  quot;all-weather friend.",100
3238,116875,"If it can keep integrating buys and grow profits, this looks like",80
319,1582,"MANILA, Philippines - Filipino and British wildlife researchers say they 39;ve stumbled upon what appears to be a new species of flightless bird found only on the tiny forested island of Calayan in the northern ...",100
1318,55293,"Once is a fluke. Twice is a coincidence. A third time would be a trend, and that's something St. John's Prep coach Jim O'Leary desperately wants to avoid after his Eagles were shut out for the second game",80
2716,58602,"com. In the latest battle in the file-sharing war, the movie and music industries have",40
1241,66188,"Constellation Brands, Inc. (CBR), today advised that it is",40
4557,94400,"ANN ARBOR, Mich. (Sports Network) - Dion Harris dropped in a game-high 24 points in helping to lead the Michigan Wolverines to a 69-60",60
264,114852,Reuters - UAL Corp.  on Monday announced new cuts in employees' salaries as the parent of United Airlines looks to make  36;112 million in annual savings and emerge from bankruptcy protection.,100
3297,64029,AP - The space station's newest astronaut will cast his ballot in the,60
1089,45439,The EU and environmental groups hail the Russian cabinet's decision to back the Kyoto climate change treaty.,100
2714,80192,"The waiters, bartenders, room cleaners and cooks who struck seven Atlantic City casinos for a month will all but certainly approve a settlement tonight that will give them much of what they ",100
2546,7970,"Oil futures cooled on Monday, giving investors a brief reprieve from record-high",40
2086,119902,"Reuters - After three years of playing down expectations, General Electric Chief Executive Jeff Immelt",40
2196,89496,The International Atomic Energy Agency (IAEA) has decided to delay a,40
3430,45723,A select group of testers,20
4721,109622,"Reuters - The dollar paused from recent heavy selling on Wednesday, edging",40
4611,21435,Tokyo stocks fell Wednesday in the absence of market-moving news at home.,40
3960,45017,Ian Botham has urged the Government to step,20
3100,56241,quot;It looked like (Makonnen),20
2016,50368,As the number of Web services,40
831,86643,BERLIN (Reuters) - War is not an option against Iran and no one expects,40
2841,83339,"AP - No Diana Taurasi, no Alana Beard. Nicole Ohlde is gone and so is Nicole Powell. Lindsay Whalen",40
3013,72788,"Description: Marsh amp; McLennan CEO Jeffrey Greenberg steps down, according to a Wall Street Journal online report. Greenberg 39;s exit comes a little more than a week after",80
4985,25586,AstraZeneca shares have fallen more,20
4892,18096,At last the spell has been broken. After 25 completed matches in 10 months of trying England,60
2256,63079,"In a rematch of All-Russian French Open championship match, Anastasia Myskina trounced",40
716,17752,Astronomers have discovered the three lightest planets known outside the,40
710,44951,The world's No.,20
4839,114279,The US Army said that eight of toppled Iraqi leader Saddam Hussein 39;s jailed lieutenants who were earlier refusing food had now given up their protest.,100
2850,62944,"Canadian Press - TRIPOLI, Libya (AP) - Saying they",20
3757,61673,"NASA says a poorly designed parachute is the likely reason its space probe, Genesis, came crashing back",60
1194,99073,Update to SecureCore firewall aims to prevent programs from executing malicious commands.,100
2378,47649,"Two bomb blasts minutes apart have killed at least 26 people and wounded at least 86 others in the northeastern Indian state of Nagaland,",80
3612,68485,WASHINGTON -- This year's flu vaccine shortage could cost the nation up to $20 billion in lost productivity -- almost twice as much as,60
3848,37760,"AP - Oracle Corp. extended its hostile bid for PeopleSoft Inc. for the 12th time, pushing the",80
4190,41992,Modern imaging techniques,20
1630,119100,Technology companies love talking up products that are,20
2691,62822,"In a speech on Friday, Alan Greenspan, chairman of the Federal Reserve, gave qualified reassurance",40
996,27220,The two companies reach a settlement and,40
1011,106477,"Confirming suspicions, Valve releases a new multiplayer mode alongside the game 39;s",40
2919,55604,NEW YORK - United States stocks fell on Friday after a government report showed employment growth unexpectedly slowed last month. A fourth straight day of record oil prices also weighed on the benchmark indexes.,100
3835,82944,"a second day, fuelling fears of a",20
1403,10941,"Write down the date, Aug. 26, and the time, 2:30 pm in Athens. Its the moment that Olympic basketball entered a new era. Itsa",80
2078,27303,NEW YORK (Reuters) - Kroger Co. on Tuesday posted a 25 percent drop in quarterly profit and warned it may miss a key 2004 sales target because of lingering woes from a,80
2583,96052,"It 39;s Big Game week in the Bay Area, and Jeff Tedford has dominated the headlines. The California coach preaches a team-first dogma, so he probably wasn 39;t happy that",80
1413,5242,"NAJAF, Iraq (Reuters) - Shi 39;ite fighters appeared still to be in control of a holy shrine in Najaf on Friday after Iraq 39;s interim government said it had overcome a bloody uprising by seizing",80
162,71096,James Hardie Industries says it has written to the foundation it set up to compensate,60
1876,61660,CARLOS MOYA was hurled into the air by jubilant team-mates after clinching the,40
2320,25191,AFP - Fifty days out from,20
1628,51598,"Dale Earnhardt Jr. cursed on a nationally televised NASCAR broadcast on Sunday, and it cost him the lead in a close race",80
1179,61301,AP - Logan Powell scored with 13 seconds remaining in the second overtime Sunday to lift UCLA to the NCAA championship with a 10-9 victory over Stanford.,100
3136,46078,Chelsea goalkeeper Petr Cech has revealed the secret of Jose Mourinho,40
3327,2215,ARLINGTON -- Rangers first baseman Mark Teixeira made history Tuesday at Ameriquest Field in Arlington against Cleveland when,60
398,70607,MISSOULA -- A University of Montana physics professor will be helping scientists explore one of the largest moons in,80
2178,111825,"Ford announced several high-level management changes yesterday, including the retirement of two stalwarts, its president Sir Nick Scheele and",80
735,58590,Levi Strauss amp; Co. swung,20
4652,14494,$300 Cyber-shot squeezes high-end performance,60
2042,52885,Technology industry reps say they failed to reach consensus with the entertainment industry on language for the proposed Induce,60
1352,25047,Chelsea manager Jose Mourinho fired a broadside at referee Rob Styles for his decision not to award a penalty,60
4251,10584,SHANGHAI -- Indian outsourcing company Infosys Technologies Ltd. moved into its Shanghai office in February.,40
4269,94398,"As if it wasn't tough enough being a soldier these days, the Army and Air Force Exchange Service has run out of copies of ""Halo 2."" Missing Links",100
1410,5242,"NAJAF, Iraq (Reuters) - Shi 39;ite fighters appeared",20
2732,118970,"AP - U.N. Secretary-General Kofi Annan, fending off Republican demands for his resignation over alleged corruption, said Thursday he will expand U.N. support for Iraqi elections if need be.",60
1582,55531,AP - Congress passed and sent to legislation President Bush on Saturday that would give,60
2400,14629,NEW YORK (Reuters) - U.S. stocks are,20
2441,68570,"ORLANDO, Fla. - Michael Eisner 39;s fighting back. The embattled Disney boss",40
4173,42551,PC World - Slim Dimension desktop features an 8-in-1,80
3158,70850,"TOKYO (Reuters) - The dollar hit eight-month lows against the euro and six-month troughs versus the yen on Monday on continued worries about the U.S. economy and the yawning trade deficit, and traders say it could fall even further. Dealers said the dollar's outlook against the Japanese currency had worsened because it dropped below the closely watched 107 yen level -- the",80
2673,76518,"Plus: San Francisco mayor vows to bring Wi-Fi to the city, free",80
966,60834,ATA Holdings Corp. 39;s stock price surged 22 percent this morning then,40
1090,42809,Reuters - The release of two,20
4938,72213,The search engine's toolbar is included in new Windows,80
2300,65693,The changes include an end,20
1301,117564,Charles Clarke is set to start work,40
4372,55316,"At age 42, Roger Clemens has done it all for the Astros this season. Tomorrow, he will do something",60
3605,72634,Hockey East is in its last season as a,20
2783,16431,AP - The Cincinnati Reds activated right-handed pitcher Paul Wilson and infielder Brandon Larson from the,80
1617,9720,System builders say Intel 39;s latest price cuts will help them clear out old inventory and should move the sweet spot of,60
337,44476,"With its new Ogo mobile device, AT amp;T Wireless says goodbye to voice traffic and embraces the IM-savvy youth market. For AT amp;T Wireless, talk",60
2201,65361,Spanish police have arrested eight suspected Islamic militants. Authorities say,40
2316,54615,"Lawrence Ellison, Oracle's chief executive, said the",40
864,115580,Iraq's interim Prime Minister Ayad Allawi announced that proceedings would begin against former Baath Party leaders.,100
988,76583,"Shanghai Automotive Industry Corp (SAIC), one of China 39;s biggest vehicle producers, clinched a much-heralded final deal with creditors of Ssangyong Motors yesterday to take over",80
540,42914,MacCentral - Apple has a habit of quietly releasing,20
4401,52204,Most earthquakes make history for the damage they inflict. But last week,40
3262,16723,Vulnerabilities in technology widely used for network,60
1780,35988,Reuters - U.S. Treasury yields,20
4185,78674,A defense so porous the 40-year,20
55,52284,RS Investment Management agreed to,20
343,108019,Chipmaker Intel boosts its prediction of sales for the final three months of,80
2463,107336,"Wal-Mart Stores Inc., the No. 1 US retailer, on Thursday posted weak November sales and gave its lowest monthly forecast in 19 months for December as high oil",80
3504,84222,VILLANOVA - The difference between Amelie Mauresmo and Vera Zvonareva in the WTA rankings is less than 10 places. The difference between Mauresmo and Zvonareva on the court is considerably wider.,100
1360,37597,NEW YORK - Both Germany and,20
4686,90271,SEOUL : Tens of thousands of workers have rallied here to protest a government reform bill,40
1355,113437,FC Barcelona opened a 12-point,20
1098,81543,A $100 million supercomputer being built to analyze the nation 39;s nuclear stockpile has again set an unofficial performance record - the,80
2096,112304,"The state health service, political parties, tax officials and the media top",40
3502,84222,VILLANOVA - The difference between Amelie Mauresmo and Vera Zvonareva in the WTA rankings is less than 10,60
362,5518,Aug. 21 (Bloomberg) -- Australia 39;s government is considering stockpiling crude oil or refined petroleum products,60
1535,77416,WR Grace amp; Co. said Friday it,20
816,42706,Reuters - Stalking teddy bears and towels before retiring to harass the,40
71,109249,Cheney and Rumsfeld are two of the most hawkish members of President George,40
1248,25248,"AP - Rosie Gacioch, whose baseball experiences during the World War II era helped inspire the 1992 movie ""A League",80
4980,56469,Reuters - Scientists who synthesized two,20
1734,67273,"AFP - Retail sales in Britain rose at the fastest pace for eight months in September, though underlying growth continues to slow, raising fresh doubts on the interest rate outlook.",100
2171,85122,International Business Machines Corp. has assembled the world 39;s most,40
2093,104235,Reuters - Scurvy wiped out nearly half of the colonists who established one of the first French settlements in North America 400,80
1298,29655,VIENNA : The United States presented key EU states with a softened version of an ultimatum over Iran 39;s alleged nuclear weapons program but diplomats said the text was still too strong to win approval,80
277,77524,Nearly 2 million Muslims from around the world have ended their three-day annual prayer,60
3552,42147,GAZA (Reuters) - Palestinian security forces were on Tuesday searching for an Israeli Arab producer for,60
2829,21398,"Newly updated. This article provides insight into the Metasploit Framework, a very useful tool for the penetration tester. Part two of three.",100
2165,57572,Alitalia SpA has signed,20
2318,54615,"Lawrence Ellison, Oracle's chief executive, said the company could lower the $21-a-share bid Oracle is",80
743,35554,"The Chicago Fire has won the US Open tournament three times in its first six seasons, and Jesse Marsch has",80
1258,56261,"New Orleans, LA (Sports Network) - Tampa Bay quarterback Chris Simms left in the first quarter of Sunday 39;s game against New",80
204,46205,"Pharmaceutical titan Merck  amp; Co. Inc. yesterday pulled its blockbuster arthritis drug Vioxx off the market, citing safety concerns, thereby triggering a massive selloff in the company 39;s shares that wiped out nearly US $27-billion of Merck 39;s market value.",100
1973,118742,"Sacramento, CA (Sports Network) - Kobe Bryant tallied 31 points, 12 assists and six rebounds to lead the Los Angeles Lakers to a 115-99 victory",80
333,33823,"Brazilian president Luiz Incio Lula da Silva declared that it is not going to be easy to convince all the participants at the UN meeting, formally known as the Action Against Hunger and Poverty,",80
4899,12954,Manchester United and Newcastle are expected to increase their bids for Wayne Rooney this weekend as the battle to sign the England striker before Tuesday 39;s transfer deadline intensifies.,100
568,47351,Arsenal captain Patrick Vieira has admitted that he had a disagreement with teammate Lauren after the Champions League,80
1002,94613,"BUENOS AIRES -- Bombs exploded at three banks in the Argentine capital yesterday, including two branches of US giant Citibank, killing one security guard and injuring a bomb squad officer, officials said. No group claimed responsibility",60
1444,49554,"The new tool automatically records all on-screen activity on a user's PC, for playback later as an interactive demonstration, among other uses.",100
3823,96023,"LONDON : British music group EMI reported a fall in interim profits as sales dropped by 11.4 percent, reflecting a release schedule skewed towards the",80
1167,24520,Colin Montgomerie believes Europe 39;s team spirit can defeat USA - and their partisan fans -,60
3928,54004,"Park was 4 under after just six holes in the LPGA 39;s final full-field event of the year. She was even sharper during a stretch coming in, using strong approach shots",80
2619,110885,"Scientists have analyzed the genetic makeup of chickens, and it is providing valuable information about how human genes work. Washington University Genome Sequencing Center led a group of international researchers ",100
4035,58643,MOSCOW The Russian government said Tuesday that,20
4019,71415,SYDNEY (Dow Jones)--James Hardie Industries NV (JHX) said Monday it is willing to help the medical fund it established to pay victims of asbestos-related illnesses avert a liquidity crisis.,100
791,104224,Universal said HD DVD can deliver enhanced picture and sound,40
1949,115171,"China with its large population provides a big market for the PC Manufacturers. However, it is the local computer makers who rule the Chinese PC Market.",100
2792,13463,"Zhang Yuehong 39;s winner spike capped China 39;s brilliant comeback in the women 39;s volleyball final on Saturday,",60
3145,52444,The U.S. Congress needs to invest more in the U.S.,20
355,62663,Religious leaders prayed for the Red Sox,20
808,23275,Images of Saturn sent back to Earth by the Cassini spacecraft reveal a newly discovered ring and at least,80
1926,113222,"OPEC might make deeper cuts in production if prices continue to slide, Gulf oil ministers said",40
1600,40389,AFP - The Australian government has,20
3052,47700,"Kilkenny, Ireland (Sports Network) - Ernie Els shot a four-under 68 on Saturday to maintain his two-shot lead",60
1350,25047,Chelsea manager Jose Mourinho fired a,20
4626,29784,A BRITISH consumer has complained to government regulators,40
1790,44021,LONDON (Reuters) - Oil prices slid from,20
4175,73049,NEW YORK (Reuters) - Marsh McLennan Cos.,20
1910,109082,"Computer-security experts, including former government officials,",20
3900,14342,A fresh round,20
761,71777,The two companies join forces to beat out the competition. Also: Sprint,40
1760,82612,Pfizer Inc. and Canadian health,20
3044,34662,"Corpses and weeping relatives filled morgues in Haiti after Tropical Storm Jeanne left more than 600 people dead, another tragedy for the Caribbean country in a year marked by revolts, military interventions and deadly floods.",100
2788,41936,HOUSTON - St. Louis Cardinals second baseman Tony Womack left Monday night 39;s game against Houston in the seventh inning after getting hit on,80
3087,88188,Airline passengers flying out of Evansville will soon have fewer choices. Newswatch has learned,60
1187,95461,AP - Indiana Pacers forward Jonathan Bender's chronically injured left knee,60
2952,34872,Reuters - Some Mexican churches are using state-of-the-art technology developed by Israeli electronic warfare experts to,60
222,112587,"(December 10, 2004) - Delphi Corp. said Friday it plans to cut 8,500 jobs -r 4.6 percent of",60
893,94001,"As part of three-pronged, anti-piracy attack launched Tuesday, the Motion Picture Association of America (MPAA) plans to release free software to help parents determine what movie and music titles their children",80
1635,34996,Israeli settlers opposed to Prime Minister Ariel,20
2853,62944,"Canadian Press - TRIPOLI, Libya (AP) - Saying they hoped African leaders could solve what the United Nations calls the world's worst humanitarian crisis without sanctions, the leaders of Egypt, Chad, Nigeria and Libya discussed the",80
193,5089,"NEW YORK - Stocks edged higher in early trading Friday as investors tried to uncouple share prices from skyrocketing oil costs, even as crude reached new highs and flirted with $50 per barrel. A barrel of light crude was quoted at $48.97, up 27 cents, on the New York Mercantile",80
285,107134,KINSHASA (Reuters) - The U.N. mission in Congo,20
2540,40304,"St. Louis, MO (Sports Network)",20
4100,57382,Former women 39;s world No. 1,20
4135,59498,The US Food and Drug Administration gave,20
2708,1614,"It appears the rumours of Palm creating a Wi-Fi card are true, however before you rush to your local electronics store take note that it won 39;t",80
3330,7510,NEW YORK (Reuters) - Southwest Airlines Inc.,20
